date,site,responseCode,speed,numberRequests
Wed May 27 2015,http://mail.bg/,200,99,2769
Wed May 27 2015,http://www.abv.bg/,200,82,22765
Wed May 27 2015,http://mail.bg/,200,99,2769
Wed May 27 2015,http://www.abv.bg/,200,82,22765
